City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Xai-Xai,MZ,-25.0519,33.6442,65.62,94,0,4.79,clear sky
141,Lengshuitan,CN,26.4111,111.5956,77.63,94,99,2.62,overcast clouds
142,Reo,BF,12.3167,-2.4667,79.81,68,86,14.16,overcast clouds
143,Ericeira,PT,38.9627,-9.4156,70.3,90,2,10.42,clear sky
144,Cherskiy,RU,68.75,161.3,58.77,47,58,9.8,broken clouds
145,Lagunas,PE,-5.2269,-75.6753,80.67,78,52,2.17,broken clouds
146,Cheremshan,RU,54.6667,51.5,65.62,98,100,7.99,moderate rain
147,Pithora,IN,21.2667,82.5167,74.41,86,98,9.19,overcast clouds
148,Ketchikan,US,55.3422,-131.6461,59.47,88,100,13.8,overcast clouds
149,Vardo,NO,70.3705,31.1107,53.58,87,28,2.3,scattered clouds
150,Avarua,CK,-21.2078,-159.775,75.25,73,75,9.22,broken clouds
151,Richards Bay,ZA,-28.783,32.0377,67.1,80,0,12.12,clear sky
152,Grand Gaube,MU,-20.0064,57.6608,67.37,69,63,8.99,light rain
153,Khorixas,NA,-20.3667,14.9667,63.75,25,0,11.86,clear sky
154,Peniche,PT,39.3558,-9.3811,68.29,87,3,9.28,clear sky
155,New Norfolk,AU,-42.7826,147.0587,42.93,88,83,2.91,broken clouds
156,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,5.75,clear sky
157,Fecamp,FR,49.7579,0.3746,88.68,24,0,11.99,clear sky
158,Ongandjera,NA,-17.8833,15.0667,60.37,30,0,8.41,clear sky
159,Cidreira,BR,-30.1811,-50.2056,57.27,92,0,4.38,clear sky
160,Cabra,ES,37.4725,-4.4421,83.66,32,0,5.79,clear sky
161,Pinawa,CA,50.1489,-95.8811,87.44,39,14,3.87,few clouds
162,Hambantota,LK,6.1241,81.1185,78.62,83,55,13.91,broken clouds
163,Micheweni,TZ,-4.9667,39.8333,75.07,78,29,14.5,scattered clouds
164,Georgetown,MY,5.4112,100.3354,82.33,91,20,0.0,thunderstorm
165,Carnarvon,AU,-24.8667,113.6333,61.05,67,0,14.23,clear sky
166,Treinta Y Tres,UY,-33.2333,-54.3833,47.82,81,1,2.98,clear sky
167,El Porvenir,HN,13.7617,-87.3458,74.53,52,59,6.64,light rain
168,Rafaela,AR,-31.2503,-61.4867,57.99,56,18,6.06,few clouds
169,Provideniya,RU,64.3833,-173.3,42.91,81,100,20.0,light rain
170,Aklavik,CA,68.2191,-135.0107,67.8,58,100,13.04,overcast clouds
171,Verkhoyansk,RU,67.5447,133.385,58.78,86,80,6.87,broken clouds
172,Duncan,US,34.5023,-97.9578,105.69,22,0,6.91,clear sky
173,Willowmore,ZA,-33.2926,23.4895,54.45,50,18,5.66,few clouds
174,Jalingo,NG,8.8833,11.3667,73.11,92,44,3.56,scattered clouds
175,Baie-Comeau,CA,49.2168,-68.1489,63.05,93,46,2.95,scattered clouds
176,Redlands,US,34.0556,-117.1825,103.32,25,20,9.22,few clouds
177,Bainbridge,US,47.6262,-122.5212,75.63,60,75,6.91,broken clouds
178,Leme,BR,-22.1856,-47.3903,73.08,52,65,4.56,broken clouds
179,Victor Harbor,AU,-35.5667,138.6167,44.67,78,100,9.31,overcast clouds
180,Airai,TL,-8.9266,125.4092,50.31,54,95,2.73,overcast clouds
181,Huarmey,PE,-10.0681,-78.1522,66.02,76,62,11.12,broken clouds
182,Lagoa,PT,39.05,-27.9833,69.53,88,95,12.37,overcast clouds
183,Clyde River,CA,70.4692,-68.5914,41.23,81,75,8.05,broken clouds
184,Puerto Escondido,MX,15.85,-97.0667,85.37,72,32,5.73,scattered clouds
185,Savinka,RU,50.0785,47.0994,70.25,58,0,16.26,clear sky
186,Kaitangata,NZ,-46.2817,169.8464,46.06,92,100,8.43,light rain
187,Homer,US,59.6425,-151.5483,62.47,74,0,17.27,clear sky
188,Katsuura,JP,35.1333,140.3,78.82,88,100,19.98,light rain
189,Alice Springs,AU,-23.7,133.8833,40.55,48,85,0.0,overcast clouds
190,Pevek,RU,69.7008,170.3133,33.04,80,100,2.53,overcast clouds
191,Evensk,RU,61.95,159.2333,51.19,95,100,9.51,overcast clouds
192,Pontypridd,GB,51.6021,-3.3421,80.08,60,35,1.01,scattered clouds
193,Huimilpan,MX,20.372,-100.2774,67.1,76,100,6.78,moderate rain
194,Olavarria,AR,-36.8927,-60.3225,43.16,48,27,5.12,scattered clouds
195,Xinzhi,CN,36.4989,111.7047,76.03,57,100,8.97,overcast clouds
196,Bondo,CD,3.8146,23.6866,69.24,99,100,3.49,light rain
197,East London,ZA,-33.0153,27.9116,68.97,35,8,8.97,clear sky
198,Yulara,AU,-25.2406,130.9889,48.16,29,0,7.18,clear sky
199,Muros,ES,42.7762,-9.0603,67.08,81,14,9.95,few clouds
200,Conakry,GN,9.538,-13.6773,76.08,90,100,9.46,moderate rain
201,Victoria,HK,22.2855,114.1577,86.38,84,100,10.0,overcast clouds
202,Guiglo,CI,6.5456,-7.4966,72.81,85,78,5.53,broken clouds
203,Leningradskiy,RU,69.3833,178.4167,34.45,89,100,20.74,overcast clouds
204,Newport,GB,51.5877,-2.9984,82.63,58,25,4.36,scattered clouds
205,Esperance,AU,-33.8667,121.9,51.64,89,40,5.14,scattered clouds
206,Lavrentiya,RU,65.5833,-171.0,36.3,90,99,13.96,light rain
207,Khatanga,RU,71.9667,102.5,52.84,75,100,1.59,overcast clouds
208,Saldanha,ZA,-33.0117,17.9442,55.69,79,0,11.16,clear sky
