City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Bredasdorp,ZA,2022-07-18 22:43:14,-34.5322,20.0403,53.92,86,100,2.08
124,Praia Da Vitoria,PT,2022-07-18 22:43:14,38.7333,-27.0667,72.75,94,75,8.43
125,Nome,US,2022-07-18 22:43:14,64.5011,-165.4064,44.67,76,75,24.16
126,Qaanaaq,GL,2022-07-18 22:43:15,77.484,-69.3632,45.12,59,0,5.3
127,Vangaindrano,MG,2022-07-18 22:43:15,-23.35,47.6,66.49,81,99,8.14
128,Bria,CF,2022-07-18 22:43:16,6.5423,21.9863,68.9,98,100,3.27
129,Narsaq,GL,2022-07-18 22:43:16,60.9167,-46.05,59.22,71,100,2.28
130,Longyearbyen,SJ,2022-07-18 22:43:16,78.2186,15.6401,51.64,71,75,11.5
131,Mount Gambier,AU,2022-07-18 22:38:25,-37.8333,140.7667,35.51,100,100,0.0
132,Belaya Kalitva,RU,2022-07-18 22:43:17,48.17,40.78,59.77,60,0,7.27
133,Jalesar,IN,2022-07-18 22:43:17,27.4833,78.3167,91.96,49,36,5.66
134,Vaini,TO,2022-07-18 22:43:18,-21.2,-175.2,77.16,83,75,10.36
135,Cayenne,GF,2022-07-18 22:43:18,4.9333,-52.3333,80.1,1,0,1.14
136,Gat,IL,2022-07-18 22:44:18,31.61,34.7642,80.4,79,0,0.34
137,Sinop,TR,2022-07-18 22:44:18,41.7711,34.8709,55.6,90,11,1.83
138,Sitka,US,2022-07-18 22:44:19,57.0531,-135.33,55.29,82,100,4.61
139,Hambantota,LK,2022-07-18 22:44:19,6.1241,81.1185,78.31,83,48,13.09
140,Kaitangata,NZ,2022-07-18 22:44:20,-46.2817,169.8464,46.4,91,100,7.96
141,Ipora,BR,2022-07-18 22:44:20,-16.4419,-51.1178,71.91,27,0,3.76
142,Butaritari,KI,2022-07-18 22:44:20,3.0707,172.7902,82.58,75,10,19.57
143,Palmer,US,2022-07-18 22:44:20,42.1584,-72.3287,76.64,86,100,9.22
144,Lagoa,PT,2022-07-18 22:44:21,39.05,-27.9833,69.31,89,82,11.72
145,Bethel,US,2022-07-18 22:44:21,41.3712,-73.414,76.35,92,100,8.05
146,Chokurdakh,RU,2022-07-18 22:44:21,70.6333,147.9167,43.25,62,83,13.51
147,Tungor,RU,2022-07-18 22:44:22,53.3808,142.9564,53.4,98,100,14.12
148,Poum,NC,2022-07-18 22:44:22,-20.2333,164.0167,74.64,86,63,7.72
149,Suslovo,RU,2022-07-18 22:44:23,56.2167,88.1167,54.12,97,100,10.85
150,Avarua,CK,2022-07-18 22:44:23,-21.2078,-159.775,77.05,69,75,10.36
151,Cabedelo,BR,2022-07-18 22:44:23,-6.9811,-34.8339,75.87,85,40,16.96
152,Guerrero Negro,MX,2022-07-18 22:41:18,27.9769,-114.0611,80.89,51,3,14.14
153,Powell River,CA,2022-07-18 22:43:14,49.8496,-124.5361,68.02,63,100,5.75
154,Sao Jose Da Coroa Grande,BR,2022-07-18 22:44:24,-8.8978,-35.1478,75.61,81,20,13.49
155,Albion,US,2022-07-18 22:44:24,42.2431,-84.753,85.17,55,0,6.91
156,Stephenville,US,2022-07-18 22:40:33,32.2207,-98.2023,108.16,17,40,11.5
157,Pevek,RU,2022-07-18 22:44:24,69.7008,170.3133,32.99,83,100,4.38
158,Liwale,TZ,2022-07-18 22:44:25,-9.7667,37.9333,62.62,81,48,3.62
159,Nahrin,AF,2022-07-18 22:44:25,36.0649,69.1334,77.22,17,0,4.52
160,Grand Gaube,MU,2022-07-18 22:44:25,-20.0064,57.6608,69.39,66,67,10.0
161,Laguna,US,2022-07-18 22:44:26,38.421,-121.4238,104.76,16,0,11.5
162,Ode,NG,2022-07-18 22:44:26,7.7899,5.7117,67.77,94,91,5.84
163,Lesnoy,RU,2022-07-18 22:44:26,57.6198,63.0784,59.43,94,0,3.47
164,Lampa,CL,2022-07-18 22:39:39,-33.2833,-70.9,61.63,33,20,3.44
165,Kieta,PG,2022-07-18 22:40:59,-6.2167,155.6333,83.53,69,53,4.97
166,Puerto Ayora,EC,2022-07-18 22:40:40,-0.7393,-90.3518,76.96,94,92,5.01
167,Krasnoselkup,RU,2022-07-18 22:44:27,65.7,82.4667,51.51,81,53,9.82
168,Padang,ID,2022-07-18 22:42:34,-0.9492,100.3543,76.15,74,13,3.87
169,Nikolayevsk-Na-Amure,RU,2022-07-18 22:44:27,53.1406,140.73,55.89,98,100,5.17
170,High Rock,BS,2022-07-18 22:44:28,26.6208,-78.2833,86.02,71,8,12.33
171,Aswan,EG,2022-07-18 22:44:28,24.0934,32.907,87.91,20,2,8.99
172,Siparia,TT,2022-07-18 22:44:28,10.1333,-61.5,81.82,86,21,1.99
173,Edeia,BR,2022-07-18 22:44:28,-17.3383,-49.9314,73.87,28,2,7.29
174,Whitehorse,CA,2022-07-18 22:44:29,60.7161,-135.0538,64.09,55,75,6.91
175,Kumano,JP,2022-07-18 22:44:29,34.3442,132.5894,76.95,99,100,12.15
176,Haines Junction,CA,2022-07-18 22:44:29,60.7522,-137.5108,66.15,42,88,11.5
177,Taggia,IT,2022-07-18 22:44:30,43.8485,7.8545,84.78,60,4,5.88
178,Coihaique,CL,2022-07-18 22:44:30,-45.5752,-72.0662,40.95,70,75,3.44
179,Dunedin,NZ,2022-07-18 22:44:30,-45.8742,170.5036,51.8,91,100,5.37
180,Brufut,GM,2022-07-18 22:44:30,13.3814,-16.7518,80.69,74,0,4.61
181,Kavieng,PG,2022-07-18 22:45:31,-2.5744,150.7967,83.53,73,100,12.12
182,Devonport,AU,2022-07-18 22:45:31,-41.1667,146.35,38.01,70,5,6.38
183,Alice Springs,AU,2022-07-18 22:45:31,-23.7,133.8833,38.75,52,68,0.0
184,Henties Bay,NA,2022-07-18 22:45:32,-22.116,14.2845,57.81,85,1,3.69
185,Santa Fe,AR,2022-07-18 22:45:32,-31.6333,-60.7,58.98,66,1,1.99
186,Aklavik,CA,2022-07-18 22:42:51,68.2191,-135.0107,67.6,56,100,11.86
187,San-Pedro,CI,2022-07-18 22:45:32,4.7485,-6.6363,74.59,77,95,8.32
188,Hermanus,ZA,2022-07-18 22:40:37,-34.4187,19.2345,53.8,82,98,3.15
189,Rundu,NA,2022-07-18 22:45:33,-17.9333,19.7667,50.07,45,0,5.03
