City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Flin Flon,CA,84.04,smoke,54.7682,-101.865,Victoria Inn Flin Flon
432,Orsha,BY,51.21,broken clouds,54.5153,30.4053,Rudakovo Hotel
433,Nampula,MZ,67.95,scattered clouds,-15.1165,39.2666,Ruby Backpackers
434,Touros,BR,76.39,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
435,Carahue,CL,40.05,overcast clouds,-38.7,-73.1667,Hospedaje Familiar
436,Kirzhach,RU,53.11,overcast clouds,56.15,38.8667,Guest House Admyralskie Bany
437,Padang,ID,76.35,clear sky,-0.9492,100.3543,Mercure Padang
438,Huaraz,PE,55.78,overcast clouds,-9.5333,-77.5333,Hotel El Tumi
439,Miyako,JP,73.89,light rain,39.6367,141.9525,Hotel Route Inn Miyako
440,Bahia Honda,CU,87.31,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
441,Axim,GH,74.93,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
442,Dhidhdhoo,MV,81.97,overcast clouds,6.8833,73.1,Dhidhoo beach
443,Gasa,PS,77.67,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
444,Moultrie,US,88.83,clear sky,31.1799,-83.7891,Moultrie Inn
445,Luau,AO,61.39,few clouds,-10.7073,22.2247,Kimbo Hotel
446,Okotoks,CA,63.72,overcast clouds,50.7289,-113.9828,Econo Lodge
447,Bereda,ES,58.8,few clouds,43.2686,-7.5406,Pazo de Verdes
449,Souillac,MU,66.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
450,Aldan,RU,64.08,overcast clouds,58.6031,125.3894,Aldan Guest House
451,Hazorasp,UZ,75.04,clear sky,41.3194,61.0742,Kemping wifi hotel
452,Eureka,US,74.12,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
453,Kavieng,PG,82.9,light rain,-2.5744,150.7967,Nusa Island Retreat
454,Chokwe,MZ,64.9,clear sky,-24.5333,32.9833,Complexo Sonho Real
455,Garwa,IN,81.03,overcast clouds,24.1833,83.8167,A.PS.D Utsav Garden
458,Harper,LR,74.75,broken clouds,4.375,-7.7169,Screensaver
459,Cururupu,BR,75.4,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
460,Thyolo,MW,57.92,overcast clouds,-16.0678,35.1405,Nkhalango Guest Hiuse
461,Iralaya,HN,81.72,broken clouds,15.0,-83.2333,Iglesia morava renovada
462,Phan Thiet,VN,78.55,overcast clouds,10.9333,108.1,Hotel Saigon-PT
463,Finschhafen,PG,80.01,moderate rain,-6.6024,147.8681,Cossam Guest House
464,Faya,SA,68.52,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
465,Pokaran,IN,87.12,overcast clouds,26.9167,71.9167,Motel Pokaran - RTDC
466,Zhanakorgan,KZ,82.47,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
467,Broken Hill,AU,38.66,clear sky,-31.95,141.4333,Royal Exchange Hotel
468,Ucluelet,CA,65.08,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
469,Pedregal,PA,84.29,scattered clouds,8.3667,-82.4333,Hostal La Libertad
470,Brooks,CA,58.62,moderate rain,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
